Beer,Index,ABV (%),Bitterness (IBU),Color (SRM),Heaviness (OG),Surveyed?
3 Floyds gumballhead,1,5.28,34.67,5.5,1.056,1
Agave Wheat,2,4.8,24,3.6,1.049,-1
Alpha IPA,3,7.2,47.8,11.2,1.068,1
Avery stout,4,6.3,51,40,1.065,1
Bell's Brewery - Hopslam Ale,5,10,80,6.9,1.083,1
Bell's Two-Hearted,6,7,51.8,5.6,1.067,1
Blue Moon Belgian White,7,5.4,10,3,1.102,-1
Breckenridge Brewery - Vanilla Porter,8,5.4,16.6,40,1.053,-1
Brooklyn Brewery - Dark Chocolate Stout,9,10,15,40,1.091,-1
Celebration Ale,10,6.7,67,12.5,1.068,1
Dale's Pale Ale,11,6.6,84,12,1.067,1
Deschutes Inversion IPA,12,7.73,65,12.6,1.079,0
Dogfish Head 60-minute IPA,13,6,60,9,1.07,1
Dogfish Head 90 Minute IPA,14,9,90,9,1.086,1
Dortmunder gold,15,5.8,30,3,1.053,0
Duvel,16,8.5,37.39,4.8,1.085,0
Fixed Gear,17,6.31,44.77,12.5,1.067,-1
Founder's All Day IPA,18,4.59,42.44,7.8,1.045,1
Franziskaner Hefe-Weisse,19,5.09,12.65,3.6,1.052,0
Goose Island 312,20,4.21,25.4,3.7,1.045,-1
Goose Island Pale Ale,21,6.53,52.71,9.42,1.067,1
Great Lakes Burning River,22,6,45,7,1.057,1
Great Lakes Commodore Perry,23,7.5,80,15,1.075,1
Great Lakes Edmund Fitzgerald Porter,24,5.13,37,34.11,1.057,-1
Great Lakes Eliot Ness,25,6.1,35,18,1.061,1
Guinness,26,4.47,43.48,36.54,1.045,1
Guinness Foreign Extra,27,7.5,40,40,1.075,1
Heineken,28,5,18.5,5,1.049,-1
Lagunitas Brown Shugga,29,8.52,45.47,16.11,1.098,0
Lagunitas IPA,30,6.2,45.6,9,1.059,1
Lagunitas Little Sumpin',31,7.5,64.2,6.3,1.076,1
Leffe Blond,32,6.6,10.91,5.93,1.07,-1
Left Half Brewing Co. Fade to Black,33,6.5,64,40,1.061,0
Left Hand Brewing Milk Stout ,34,6.87,15.12,28.97,1.07,-1
Magic Hat #9,35,5.1,20,9,1.053,1
Modelo,36,5.5,24,12,1.062,0
New Belgium fat Tire,37,5.2,18.5,11,1.05,1
New Belgium Snapshot,38,5.2,27,3,1.053,-1
New Glarus Spotted Cow,39,5.4,21.3,6,1.054,-1
New Holland's Dragon's Milk,40,11,31,40,1.096,0
Off Color Scurry,41,5.3,18,25,1.055,1
Oskar Blues Old Chub,42,7.4,35,22,1.078,1
PBR,43,4.8,12,4,1.046,-1
Purple Haze,44,4.2,13,8,1.042,-1
Revolution anti-hero,45,6.5,70,13,1.058,1
Sam Adams Boston Lager,46,4.9,30,11,1.053,-1
Sea Dog Blueberry,47,4.6,8,6,1.048,-1
Sierra Nevada Torpedo IPA,48,8.3,74,10.4,1.083,1
Smuttynose porter,49,6.1,65,40,1.066,0
Sorachi Ace,50,7.6,34,5,1.064,0
Stella Artois,51,5.2,32.8,6,1.048,1
Stone IPA,52,6.5,77,11.8,1.066,1
Tyranena Brewing - Hop Whore,53,6.7,85,9.1,1.063,1
Young's Double Chocolate Stout,54,5.3,26,40,1.065,1
Zombie Dust,55,5.9,70,9,1.063,-1
